l2bn,l2ts,batchTimestamp,delay,batchPosterAddress,batchNumber,batchDataGas,l1BaseFeeWei
160369631,1702650583,1702649327,-1256,0xad8663715b08f41a3aec47cc,443586,1586600,65192938225
160369634,1702650583,1702649531,-1052,0xad8663715b08f41a3aec47cc,443587,1590290,59491680290
160369635,1702650583,1702649531,-1052,0xad8663715b08f41a3aec47cc,443588,1576074,59491680290
160369640,1702650583,1702649807,-776,0xad8663715b08f41a3aec47cc,443589,1588724,53344091305
160369641,1702650583,1702649807,-776,0xad8663715b08f41a3aec47cc,443590,1592010,53344091305
160369642,1702650583,1702649807,-776,0xad8663715b08f41a3aec47cc,443591,1602410,53344091305
160369644,1702650584,1702649807,-777,0xad8663715b08f41a3aec47cc,443592,1603486,53344091305
160373051,1702651438,1702649819,-1619,0xad8663715b08f41a3aec47cc,443593,1599492,56750215111
160373052,1702651438,1702649819,-1619,0xad8663715b08f41a3aec47cc,443594,1573156,56750215111
160373053,1702651438,1702649819,-1619,0xad8663715b08f41a3aec47cc,443595,1597810,56750215111
160373054,1702651438,1702649819,-1619,0xad8663715b08f41a3aec47cc,443596,1602238,56750215111
160373055,1702651438,1702649867,-1571,0xad8663715b08f41a3aec47cc,443597,1596196,60552351593
160373056,1702651438,1702649867,-1571,0xad8663715b08f41a3aec47cc,443598,1595342,60552351593
160373057,1702651438,1702649867,-1571,0xad8663715b08f41a3aec47cc,443599,1579374,60552351593
160373058,1702651438,1702649867,-1571,0xad8663715b08f41a3aec47cc,443600,1582398,60552351593
160373060,1702651438,1702649927,-1511,0xad8663715b08f41a3aec47cc,443601,1571534,58999824472
160373061,1702651438,1702649927,-1511,0xad8663715b08f41a3aec47cc,443602,1593892,58999824472
160375451,1702652038,1702650647,-1391,0xad8663715b08f41a3aec47cc,443603,1589764,59903348952
160375452,1702652038,1702650647,-1391,0xad8663715b08f41a3aec47cc,443604,1608874,59903348952
160375453,1702652038,1702650647,-1391,0xad8663715b08f41a3aec47cc,443605,1598272,59903348952
160375454,1702652038,1702650647,-1391,0xad8663715b08f41a3aec47cc,443606,1601234,59903348952
160375455,1702652038,1702650647,-1391,0xad8663715b08f41a3aec47cc,443607,1570802,59903348952
160375458,1702652038,1702650875,-1163,0xad8663715b08f41a3aec47cc,443608,1585976,58415493906
160375459,1702652038,1702650875,-1163,0xad8663715b08f41a3aec47cc,443609,1577532,58415493906
160375460,1702652038,1702650875,-1163,0xad8663715b08f41a3aec47cc,443610,1595644,58415493906
