delay,timestamp
0,1661457600
2055,1661961600
905,1661965200
712,1661968800
716,1661972400
792,1661976000
1668,1661979600
691,1661983200
699,1661986800
669,1661990400
794,1661994000
729,1661997600
689,1662001200
804,1662004800
791,1662008400
665,1662012000
640,1662015600
612,1662019200
617,1662022800
671,1662026400
615,1662030000
602,1662033600
625,1662037200
1019,1662040800
671,1662044400
601,1662048000
569,1662051600
673,1662055200
675,1662058800
648,1662062400
724,1662066000
796,1662069600
933,1662073200
935,1662076800
791,1662080400
723,1662084000
686,1662087600
783,1662091200
861,1662094800
582,1662098400
685,1662102000
649,1662105600
666,1662109200
659,1662112800
566,1662116400
534,1662120000
559,1662123600
552,1662127200
613,1662130800
590,1662134400
597,1662138000
651,1662141600
624,1662145200
773,1662148800
672,1662152400
671,1662156000
914,1662159600
831,1662163200
927,1662166800
804,1662170400
755,1662174000
784,1662177600
741,1662181200
691,1662184800
617,1662188400
629,1662192000
642,1662195600
602,1662199200
659,1662202800
629,1662206400
609,1662210000
658,1662213600
676,1662217200
694,1662220800
760,1662224400
684,1662228000
628,1662231600
726,1662235200
850,1662238800
793,1662242400
897,1662246000
946,1662249600
935,1662253200
801,1662256800
803,1662260400
838,1662264000
705,1662267600
647,1662271200
587,1662274800
597,1662278400
573,1662282000
667,1662285600
686,1662289200
520,1662292800
570,1662296400
586,1662300000
584,1662303600
601,1662307200
661,1662310800
949,1662314400
703,1662318000
783,1662321600
761,1662325200
808,1662328800
894,1662332400
790,1662336000
806,1662339600
755,1662343200
839,1662346800
801,1662350400
720,1662354000
648,1662357600
609,1662361200
573,1662364800
598,1662368400
610,1662372000
601,1662375600
629,1662379200
610,1662382800
549,1662386400
561,1662390000
550,1662393600
650,1662397200
561,1662400800
596,1662404400
631,1662408000
691,1662411600
784,1662415200
686,1662418800
602,1662422400
561,1662426000
589,1662429600
629,1662433200
650,1662436800
617,1662440400
601,1662444000
571,1662447600
540,1662451200
542,1662454800
570,1662458400
582,1662462000
485,1662465600
463,1662469200
469,1662472800
515,1662476400
863,1662480000
432,1662483600
595,1662487200
565,1662490800
526,1662494400
599,1662498000
715,1662501600
739,1662505200
535,1662508800
635,1662512400
554,1662516000
548,1662519600
628,1662523200
604,1662526800
579,1662530400
587,1662534000
574,1662537600
574,1662541200
582,1662544800
555,1662548400
547,1662552000
481,1662555600
552,1662559200
593,1662562800
612,1662566400
584,1662570000
549,1662573600
576,1662577200
500,1662580800
592,1662584400
662,1662588000
788,1662591600
570,1662595200
682,1662598800
612,1662602400
591,1662606000
569,1662609600
572,1662613200
564,1662616800
582,1662620400
547,1662624000
543,1662627600
614,1662631200
587,1662634800
481,1662638400
464,1662642000
476,1662645600
777,1662649200
585,1662652800
618,1662656400
698,1662660000
655,1662663600
620,1662667200
716,1662670800
702,1662674400
895,1662678000
749,1662681600
719,1662685200
623,1662688800
615,1662692400
515,1662696000
693,1662699600
614,1662703200
634,1662706800
551,1662710400
571,1662714000
585,1662717600
593,1662721200
533,1662724800
509,1662728400
560,1662732000
539,1662735600
555,1662739200
606,1662742800
641,1662746400
645,1662750000
636,1662753600
637,1662757200
816,1662760800
695,1662764400
681,1662768000
705,1662771600
736,1662775200
672,1662778800
683,1662782400
654,1662786000
727,1662789600
627,1662793200
614,1662796800
675,1662800400
645,1662804000
668,1662807600
649,1662811200
696,1662814800
687,1662818400
688,1662822000
648,1662825600
734,1662829200
748,1662832800
717,1662836400
772,1662840000
759,1662843600
626,1662847200
856,1662850800
850,1662854400
805,1662858000
778,1662861600
864,1662865200
934,1662868800
871,1662872400
722,1662876000
654,1662879600
715,1662883200
737,1662886800
621,1662890400
592,1662894000
585,1662897600
596,1662901200
623,1662904800
661,1662908400
687,1662912000
598,1662915600
769,1662919200
846,1662922800
807,1662926400
683,1662930000
839,1662933600
824,1662937200
773,1662940800
635,1662944400
672,1662948000
739,1662951600
888,1662955200
839,1662958800
632,1662962400
543,1662966000
580,1662969600
574,1662973200
586,1662976800
746,1662980400
675,1662984000
603,1662987600
618,1662991200
606,1662994800
564,1662998400
686,1663002000
679,1663005600
800,1663009200
806,1663012800
771,1663016400
790,1663020000
800,1663023600
682,1663027200
766,1663030800
586,1663034400
614,1663038000
732,1663041600
832,1663045200
608,1663048800
613,1663052400
651,1663056000
596,1663059600
600,1663063200
623,1663066800
489,1663070400
557,1663074000
570,1663077600
516,1663081200
536,1663084800
608,1663088400
976,1663092000
618,1663095600
690,1663099200
644,1663102800
733,1663106400
660,1663110000
753,1663113600
793,1663117200
683,1663120800
680,1663124400
641,1663128000
818,1663131600
675,1663135200
602,1663138800
595,1663142400
645,1663146000
644,1663149600
649,1663153200
552,1663156800
630,1663160400
559,1663164000
578,1663167600
678,1663171200
713,1663174800
602,1663178400
987,1663182000
857,1663185600
805,1663189200
762,1663192800
